"Grup","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
"Malalt",-0.342082548645047,3.00701437058054,2.27879704466888,-0.481526775685159,-0.768224718649923,0.0120037178327317,0.144924326712451,-0.573939074638599,-0.0432933620893905,-0.444717636279361,1.56861894800593,-0.595043524590434,0.361558272928677,-0.733935214879994,0.95670579070416,-0.636335709708653,-1.20594353440893,-0.755091425351641,0.334900778843546,-0.689749912483265,-1.18698590080513,-1.38807151460691,-1.0115211065315,-0.683155952789858,-0.520498528409686,-0.738814322355001,-0.673548476209003,-0.878855655486237,-0.744078260940758,-0.862847983585007,-0.685721784006214,0.055705326679672,-0.860695574318586,-0.215984730057824,0.193235313049683,-0.213180369701966,-0.144063194356475,-0.466469671023709,-0.924519717283644,-0.797164911615205
"Malalt",-0.176049887875556,-0.0994880885000009,0.13524419789066,0.835631715995904,-0.24029922638215,0.468144995476546,-0.312963375473604,0.322878775876419,0.131192006331487,-0.437669981155721,0.437369903033449,-0.387944585011935,0.514191982814455,-0.599878168263787,-0.97608211051589,-0.129044824287533,-0.43643521843041,0.758409984618638,0.582981113958271,-0.301168062282757,-0.212911906588999,-0.163243377834718,-0.000862882617019502,-0.245131084767382,-0.258211444757924,-0.386424961902367,-0.220916980155087,0.655263121214874,0.523549577365339,0.570149825723299,0.585154590507307,0.867583772208564,0.0111438117010019,-0.350736192875167,1.31736942756262,-0.75686184947887,0.0128285546663455,-1.21620340209507,0.550565149159176,-0.243552616387162
"Control",-0.905733879218496,-1.00299508737082,-0.132737419381208,-0.33070710106519,0.145492479505838,-0.06001858916366,1.22676033774404,-0.12553014938109,-0.275940519983894,-0.138144638400988,-0.433349058854463,0.0676730820607644,0.361558272928677,-0.123090352227403,-0.331819476775873,0.574322538195233,1.12106809979638,-0.401329243528378,0.291722239503958,0.220432372757279,1.24358990179727,0.826943353425562,1.76316145326302,0.317609197067049,0.301334333699166,0.156841968795444,0.339653135664386,-0.314889613051426,-0.111117388785224,0.00329671264562713,-0.566952409777729,0.710553784801742,1.23171895212843,0.979391149773441,0.423770629502533,-0.485021109590437,0.601172613501928,0.283264060047629,-0.272750798401742,-0.672354996842811
"Control",-1.30227790396893,-0.439697514000742,-1.09723116844256,-0.903821864621073,-0.829139198526974,-0.06001858916366,-0.964995463386548,-0.733373359174602,-0.305021414720707,-0.483479739459386,-0.933841060569563,-0.926401827916034,-0.248976566614434,-0.826258164065332,-0.97608211051589,-0.830132227734699,-1.11582093884388,-1.00414333873429,-0.199728044615717,-0.710435873511459,-1.10094781929708,-1.09007692960678,-0.396981673675077,-0.769848374585973,-0.62541336187039,-0.580239110151316,-0.795701235202945,-1.20190814403137,-0.611429452827301,-0.833935657091312,-1.35393723363123,-0.348563364303851,-1.0350634515225,-0.0942737313840957,-0.397374211958092,1.5266003655841,0.914956111547583,0.158308438202406,-1.22666206795542,-0.8157010375715
"Malalt",-0.380232448045156,-0.726923504382515,-0.775833282554347,-0.441308195786501,-0.900206091716866,0.444137559811082,-0.242143410868827,-0.922701572061106,-0.217778730510268,0.270619358770176,0.0260066139525458,-0.677883100421834,-0.248976566614434,-0.585659996652977,-0.331819476775873,-1.02050880720734,-1.32841783094605,-0.469745514541368,0.618309009781569,-0.860998248083759,-1.33447975481893,-0.92817435980356,-0.867141360258006,-0.884297580553651,-0.870214639945367,-0.991360030679389,-0.860997437283343,-0.574244909219412,-0.430156965855534,-0.530968778197626,-0.492032952936013,0.0607169220224432,-0.337591942706834,0.605564510989846,-0.219532682123036,-1.40927962521113,0.0128285546663455,0.533175303738097,-0.668104942576547,-0.622925327626021
"Malalt",0.233389877517169,1.22788639132256,1.15345430696507,-1.0948601191397,2.38917582164387,-1.26039037243685,-0.00770490734956727,-1.32128728340111,1.78880300632982,-0.4341461535939,-0.29965598990317,-0.263685221264835,-0.55424398638599,-0.0537285010255875,0.95670579070416,2.39600980764006,-1.64269149753187,-1.4125551028911,-0.962025530047354,3.30394980399797,-0.76294107051546,-1.93243957539455,0.7321419830792,3.17731842657837,3.62363739328814,2.66174300601292,3.21668375385989,-1.03464446882777,-2.15373842433297,-2.2734264888749,0.653683858383112,-0.131394232783776,-1.0350634515225,-1.40266696712668,0.546722798277385,-0.158812221724287,-3.94868810815996,-1.71602588947598,-0.507097763339571,-0.404199041341728
"Control",2.08607794979291,0.491695503353746,2.70762765058321,0.373118047161333,2.86633924734744,-1.50046472909149,0.899523259915072,0.87093412896893,5.97645184843089,0.517287288097602,0.636195492755886,0.150512657892164,2.3457965014438,1.13676993562799,-0.97608211051589,2.04603609567538,2.0823757858236,1.12510451035289,-1.4228583044535,3.71662163413005,0.521484574854711,0.423360135945069,-1.38727865132022,3.05146232300594,3.16900644829176,4.95814700496258,2.73429140379654,1.47050522034336,0.967560539571478,-0.0797649710947367,2.58925006102321,-1.91218111124838,-0.686327697114668,-0.97667847176863,-2.01112142712803,2.66833147311559,-1.63453481007331,1.40786465665466,1.88226414715093,3.75407188152069
"Malalt",-0.68489432071927,0.290916170271341,-0.829249551170688,-0.290488521166531,-0.291061292946359,-0.516159866807474,0.912344115576281,-0.334787647834594,-0.188697835773455,-0.455289118964823,-0.831000238299337,-0.843562252084634,0.97209311247179,-1.16657386532321,2.24523105818419,-0.0686259098441192,0.201355457876111,-0.193160223799831,-0.567923225529659,-0.319497394839384,0.0759302241880252,0.0995549963386267,-0.0452874199319416,-0.304066722391934,-0.415583694948981,-0.0164161334271012,-0.342181355447255,-0.296096599491623,0.369574594314027,-0.129994012884632,-0.535882870322782,-0.622530576375329,-0.163224065502916,-0.168169694864574,-0.733297101646529,0.982918885807198,0.836510237036173,0.533175303738097,-0.301131538826398,0.0690900414090317
"Malalt",0.0109383514376572,-0.102276690348368,0.832056421076861,0.704921331325265,0.927228304594656,-0.444137559811082,-0.756198671189706,0.542100917113423,0.1602729010683,-0.381288740166595,0.17341179253987,-1.00924140374743,-0.859511406157547,-0.679093695809728,-0.331819476775873,1.09415319831216,1.17421732282193,0.771759500913855,-0.443097993620669,1.15967974248048,0.97625729139726,0.573530635472694,-0.139689561726152,1.1506929521341,1.07070977907767,1.16702480209299,1.14008685096287,0.801274883888228,0.970119680564021,0.441759494514006,0.860042891713308,-0.402020381293407,0.18551168890492,-0.42897897773685,-0.311746808704176,0.113028518164145,-0.0263943825893665,-0.0916028054880401,0.930658469662696,0.851314556764725
"Malalt",0.166761884198668,-0.0771792737130671,0.188960557903722,0.111697277820052,0.0135111064388946,0.876271401789432,-1.30444287994048,-0.733373359174602,-0.82847751998334,-0.124049328153707,2.27479259426149,-0.926401827916034,-0.55424398638599,-0.460630359680575,1.60096842444418,-0.0275866472033094,1.21812320271259,-0.560271921918311,1.41985971279465,-0.162912525284193,1.29890009705245,1.03108137622093,2.23147011745783,-0.103685554468457,-0.0134101666829472,-0.359995759868419,-0.066338216046389,-0.537829786371446,-0.357647971066827,0.287764602977668,-1.17853756408415,1.72623710760332,1.75482258374018,2.1660733868423,1.15270134438202,-0.919966293411945,1.30718548410463,0.533175303738097,-0.575991050057063,-1.22349580861001
"Malalt",-0.744537121189864,0.533524531079247,-0.239870048010611,0.0513694079720649,0.257169025947098,0.80424909479304,0.655316485415842,-0.713444073607602,-0.363183204194333,-0.162811431333731,1.29780478269434,-0.926401827916034,0.666825692700234,-1.14178952041485,0.312443156964144,0.588002292408836,0.635792585215335,-0.811826869606315,0.693675187537942,0.433314478022113,0.920947096142085,0.0174305044094566,1.2171098487671,0.498978868982606,0.406249167159871,0.324226915010445,0.523548561931629,-0.698477852440285,-0.81744030272698,-0.526190893734685,-0.630083069734057,1.14322151606097,0.359879566108837,0.592524046846232,1.19880840767259,-0.539389257568116,-0.104840257100777,-0.591425292868932,-0.620456039890664,-1.05419919154251
"Malalt",-0.917554974807262,-1.14521378163752,-0.347002676640014,-1.03453224929171,-0.260604053007834,-1.14035319410954,1.29819081928506,-0.862913715360105,5.65656200632594,-0.462336774088463,-0.484769469989576,-0.843562252084634,1.27736053224335,-1.26203873185293,-0.97608211051589,-0.551977225391433,-0.0944315224399571,-0.42177069035543,-1.12217865777964,-0.135156678841299,-0.292804410846474,-0.489394931496279,-0.44140621099,-0.229921887961046,-0.0134101666829472,-0.248405795725085,-0.230689200874602,-0.430516409875754,-0.462572751761073,-0.404783624432767,-0.326659269525108,-1.1153374517478,-1.0350634515225,-0.889742044144538,-1.00335275806272,0.221764814119541,-0.144063194356475,0.158308438202406,-0.400217102591397,0.381732699205225
